t,tau_cmd,tau_meas,tau_pred,q,dq_raw,dq_filt,ddq
0.834578072,1.499995871,1.462999940,1.017340544,1.640609503,4.031710625,3.777496275,12.970685383
0.845100464,1.499631034,1.462999940,1.024821239,1.692969322,4.171337128,3.914350113,13.084583075
0.855570652,1.498682457,1.444000006,1.028077401,1.745329261,4.310963154,4.052167244,13.088526175
0.866209661,1.497120672,1.444000006,1.032558586,1.797689080,4.450589657,4.190613105,13.123824142
0.877157147,1.494885103,1.444000006,1.047533707,1.850049019,4.607669353,4.335533947,13.427082706
0.887670966,1.492138865,1.481999874,1.077366161,1.902408838,4.747295380,4.478614919,14.116139698
0.898202096,1.488800631,1.386999965,1.102564130,1.937315464,4.921828270,4.632624965,14.678814557
0.909137731,1.484713317,1.444000006,1.129519479,2.007128716,5.096361637,4.793766560,15.282837062
0.919625888,1.480200582,1.444000006,1.172934053,2.059488535,5.270894527,4.959561430,16.310351654
0.930030848,1.475152000,1.424999952,1.195247626,2.111848354,5.462880611,5.134457358,16.786155593
0.940456545,1.469524239,1.386999965,1.205945338,2.181661606,5.637413502,5.309227136,16.961244450
0.950989182,1.463262486,1.386999965,1.238650683,2.251474619,5.829399586,5.489979324,17.702724330
0.961445157,1.456475838,1.406000018,1.274074020,2.321287870,6.038839340,5.680700014,18.508772082
0.971947927,1.449089273,1.406000018,1.296702152,2.391101122,6.248278618,5.877925135,18.979699145
0.982451513,1.441134144,1.406000018,1.302742613,2.460914135,6.457718372,6.079394660,19.018619015
0.992961320,1.432608906,1.386999965,1.306818218,2.530727386,6.649704456,6.277568830,19.008581461
1.003507875,1.423488693,1.386999965,1.336812963,2.600540638,6.859143734,6.479657457,19.667428027
1.013955233,1.413899609,1.386999965,1.357816402,2.687807083,7.086036682,6.690365217,20.088421269
1.024464467,1.403700557,1.348999977,1.358637307,2.775073528,7.295476437,6.900632364,19.987051865
1.034981192,1.392942834,1.368000031,1.352222283,2.862339973,7.504915714,7.110611838,19.698478380
1.045465541,1.381673377,1.368000031,1.344603339,2.949606419,7.696901798,7.314338877,19.382376206
1.056106293,1.369684089,1.310999990,1.345212630,3.036872864,7.906341553,7.520051000,19.278183591
1.066558522,1.357370742,1.348999977,1.353226477,3.124139309,8.098327637,7.720993528,19.368510938
1.077008173,1.344533755,1.310999990,1.351920938,3.211405754,8.307766914,7.924888551,19.215794184
1.087568199,1.331031271,1.273000002,1.345082624,3.298672199,8.499752998,8.124645394,18.922221551
1.097979048,1.317203268,1.254000068,1.343796000,3.403392076,8.691740036,8.321702346,18.773982520
1.108468190,1.302758312,1.292000055,1.339984770,3.490658522,8.883726120,8.516997246,18.561397326
1.118960247,1.287799879,1.273000002,1.329293714,3.595378160,9.075712204,8.711142382,18.171331994
1.129461787,1.272323561,1.254000068,1.312216469,3.682644606,9.250245094,8.898472555,17.619872979
1.139971584,1.256335958,1.215999961,1.301957705,3.787364483,9.424777985,9.081355862,17.247569533
1.150500747,1.239824495,1.197000027,1.285306318,3.892084122,9.599310875,9.261337524,16.711423568
1.161035593,1.222815371,1.215999961,1.266870478,3.996803999,9.756390572,9.433361093,16.133710963
1.171501973,1.205439289,1.197000027,1.255990809,4.101523876,9.913470268,9.600191889,15.754691108
1.181999818,1.187539692,1.197000027,1.237307521,4.223696709,10.070549965,9.763634323,15.175575346
1.192496795,1.169176651,1.139999986,1.215225330,4.328416348,10.210176468,9.918801075,14.513272535
1.203011102,1.150324447,1.139999986,1.187570107,4.433136463,10.349802017,10.068567491,13.709807480
1.213655716,1.130778374,1.101999998,1.163227195,4.555309296,10.471975327,10.208745712,12.997705300
1.224094058,1.111168939,1.159000039,1.140294574,4.660028934,10.594148636,10.342667495,12.325770831
1.234565556,1.091065013,1.082999945,1.111852233,4.782202244,10.698868752,10.466442132,11.517081835
1.245011905,1.070585827,1.064000010,1.082945945,4.904375076,10.803587914,10.583595276,10.700240740
1.255495937,1.049615441,1.082999945,1.051305575,5.009094715,10.890854836,10.690363402,9.818658025
1.266076976,1.028035442,0.987999976,1.020544787,5.131268024,10.978120804,10.790354818,8.963803893
1.276633469,1.006097986,0.911999941,0.981741188,5.253440857,11.047934532,10.879859937,7.906799547
1.287066850,0.984024924,0.911999941,0.945359447,5.375614166,11.100294113,10.956457534,6.920035960
1.297561817,0.961437632,0.759999990,0.898504376,5.497786999,11.152653694,11.024632781,5.666981033
1.308000915,0.938597320,0.817000031,0.846374463,5.602507114,11.170106888,11.075182869,4.287614807
1.318465774,0.915335897,0.797999978,0.811731324,5.724679947,11.187560081,11.114232278,3.367769551
1.328971680,0.891624996,0.817000031,0.789323060,5.846852779,11.205014229,11.145777656,2.769118399
1.339481815,0.867554688,0.893000007,0.763747831,5.951572895,11.222467422,11.172426209,2.091315575
1.350056199,0.842993640,0.854999959,0.736069786,6.073745728,11.222467422,11.189814786,1.364461451
1.360479950,0.818454637,0.854999959,0.718295452,6.195919037,11.222467422,11.201161091,0.897584224
